PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.27353844,0.27353844
PC2,0.14939465,0.4229331
PC3,0.057740632,0.48067373
PC4,0.04166621,0.52233994
PC5,0.023233045,0.545573
PC6,0.01607327,0.5616463
PC7,0.008908634,0.5705549
PC8,0.0075592254,0.57811415
PC9,0.006121135,0.5842353
PC10,0.0059836977,0.590219
PC11,0.0046374435,0.59485644
PC12,0.0041847522,0.59904116
PC13,0.004048485,0.60308963
PC14,0.0036729986,0.60676265
PC15,0.0031548378,0.60991746
PC16,0.0030956024,0.6130131
PC17,0.0027334709,0.61574656
PC18,0.002580297,0.61832684
PC19,0.0024449623,0.6207718
PC20,0.0022674515,0.6230393
PC21,0.0021699944,0.6252093
PC22,0.0019936638,0.6272029
PC23,0.0019466631,0.6291496
PC24,0.0019102508,0.6310599
PC25,0.0017464687,0.63280636
PC26,0.0016900471,0.6344964
PC27,0.0016471185,0.6361435
PC28,0.0015851767,0.6377287
PC29,0.0015294255,0.63925815
PC30,0.0014898725,0.640748
PC31,0.0014190659,0.6421671
PC32,0.0014100426,0.64357716
PC33,0.0013316107,0.6449088
PC34,0.0013153097,0.6462241
PC35,0.001288555,0.6475126
PC36,0.0012721632,0.64878476
PC37,0.0012528764,0.65003765
PC38,0.0012058419,0.6512435
PC39,0.0011931005,0.6524366
PC40,0.0011805209,0.65361714
PC41,0.001156515,0.65477365
PC42,0.0011334099,0.65590703
PC43,0.0011248983,0.65703195
PC44,0.0011202695,0.6581522
PC45,0.0011002352,0.65925246
PC46,0.0010742764,0.6603267
PC47,0.0010639403,0.66139066
PC48,0.0010451792,0.6624358
PC49,0.001041979,0.66347784
PC50,0.001030521,0.66450834
PC51,0.00102548,0.66553384
PC52,0.0010149567,0.6665488
PC53,0.0010091254,0.6675579
PC54,0.0010046476,0.66856253
PC55,0.0009888794,0.66955143
PC56,0.0009827636,0.6705342
PC57,0.0009770648,0.67151123
PC58,0.0009648034,0.67247605
PC59,0.0009639004,0.67344
PC60,0.00096108887,0.67440104
PC61,0.00095014635,0.6753512
PC62,0.0009426256,0.67629385
PC63,0.00093883486,0.6772327
PC64,0.00092352624,0.6781562
PC65,0.00092179835,0.679078
PC66,0.0009178245,0.67999583
PC67,0.0009138509,0.6809097
PC68,0.00091025926,0.68182
PC69,0.0008997684,0.68271977
PC70,0.0008951769,0.68361497
PC71,0.0008854799,0.68450046
PC72,0.00088160567,0.68538207
PC73,0.0008763155,0.6862584
PC74,0.0008721852,0.6871306
PC75,0.0008645115,0.6879951
PC76,0.00086116325,0.68885624
PC77,0.00085458584,0.68971086
PC78,0.00085248955,0.6905633
PC79,0.0008482557,0.69141155
PC80,0.00084480364,0.69225633
PC81,0.00083537115,0.6930917
PC82,0.0008310653,0.69392276
PC83,0.0008243602,0.6947471
PC84,0.00082124554,0.6955683
PC85,0.0008165256,0.69638485
PC86,0.0008138552,0.6971987
PC87,0.0008083292,0.69800705
PC88,0.0008037241,0.69881076
PC89,0.00080149155,0.69961226
PC90,0.000797192,0.7004095
PC91,0.0007943079,0.70120376
PC92,0.00079224625,0.701996
PC93,0.00078553066,0.70278156
PC94,0.0007831943,0.70356476
PC95,0.00077870535,0.7043435
PC96,0.00077193085,0.70511544
PC97,0.00076786807,0.7058833
PC98,0.000765834,0.7066492
PC99,0.0007641409,0.7074133
PC100,0.00075818173,0.7081715
PC101,0.000755992,0.70892745
PC102,0.0007548963,0.70968235
PC103,0.000750528,0.7104329
PC104,0.0007472551,0.71118015
PC105,0.0007411115,0.7119213
PC106,0.000739913,0.7126612
PC107,0.0007359225,0.71339715
PC108,0.00072948,0.71412665
PC109,0.000729031,0.7148557
PC110,0.0007239067,0.71557957
PC111,0.00072207366,0.7163016
PC112,0.0007189659,0.7170206
PC113,0.00071611494,0.71773666
PC114,0.0007140848,0.7184507
PC115,0.0007113576,0.7191621
PC116,0.0007097532,0.7198719
PC117,0.0007080017,0.72057986
PC118,0.00070625835,0.7212861
PC119,0.0007035658,0.7219897
PC120,0.0006993518,0.72268903
PC121,0.0006970235,0.72338605
PC122,0.00069643935,0.72408247
PC123,0.00069437624,0.72477686
PC124,0.0006873393,0.7254642
PC125,0.00068627193,0.7261505
PC126,0.00068443787,0.72683495
PC127,0.00068039796,0.72751534
PC128,0.0006793556,0.7281947
PC129,0.0006762727,0.728871
PC130,0.00067428144,0.7295453
PC131,0.00067295623,0.73021823
PC132,0.00066824356,0.73088646
PC133,0.000667718,0.73155415
PC134,0.0006653825,0.7322195
PC135,0.00066126283,0.7328808
PC136,0.00065899704,0.73353976
PC137,0.0006575298,0.7341973
PC138,0.00065595785,0.73485327
PC139,0.0006554036,0.7355087
PC140,0.0006519394,0.73616064
PC141,0.0006460437,0.7368067
PC142,0.0006443679,0.7374511
PC143,0.0006428599,0.7380939
PC144,0.00063988933,0.7387338
PC145,0.0006369314,0.73937076
PC146,0.00063533685,0.7400061
PC147,0.0006317487,0.74063784
PC148,0.00062902865,0.74126685
PC149,0.0006268459,0.7418937
PC150,0.0006262125,0.7425199
PC151,0.00062358903,0.7431435
PC152,0.0006191166,0.7437626
PC153,0.00061793433,0.74438053
PC154,0.0006164489,0.74499696
PC155,0.00061631517,0.7456133
PC156,0.00061167026,0.74622494
PC157,0.00061121426,0.7468361
PC158,0.0006082088,0.74744433
PC159,0.0006070586,0.7480514
PC160,0.00060505193,0.74865645
PC161,0.0006038119,0.74926025
PC162,0.0006016612,0.7498619
PC163,0.00059889513,0.7504608
PC164,0.0005982562,0.75105906
PC165,0.00059537875,0.75165445
PC166,0.00059355906,0.752248
PC167,0.0005932695,0.75284123
PC168,0.0005897141,0.75343096
PC169,0.0005891289,0.7540201
PC170,0.00058729196,0.7546074
PC171,0.00058533996,0.7551927
PC172,0.00058425363,0.75577694
PC173,0.00058208726,0.75635904
PC174,0.0005804835,0.75693953
PC175,0.00057897676,0.75751853
PC176,0.0005779057,0.75809646
PC177,0.0005744003,0.75867087
PC178,0.00057312835,0.75924397
PC179,0.00057080144,0.75981474
PC180,0.00056915946,0.7603839
PC181,0.0005686319,0.76095253
PC182,0.0005659461,0.7615185
PC183,0.00056522735,0.7620837
PC184,0.0005637931,0.7626475
PC185,0.0005623683,0.7632099
PC186,0.00055939006,0.76376927
PC187,0.00055846234,0.7643277
PC188,0.00055644877,0.7648842
PC189,0.00055545906,0.7654396
PC190,0.00055428385,0.7659939
PC191,0.0005537919,0.7665477
PC192,0.0005511203,0.7670988
PC193,0.00054982025,0.7676486
PC194,0.00054901326,0.7681976
PC195,0.0005473858,0.768745
PC196,0.00054662616,0.76929164
PC197,0.00054428994,0.76983595
PC198,0.0005439624,0.7703799
PC199,0.00054181775,0.7709217
PC200,0.0005386571,0.77146035
PC201,0.0005373856,0.77199775
PC202,0.00053628284,0.772534
PC203,0.0005342561,0.77306825
PC204,0.0005329276,0.7736012
PC205,0.00053210993,0.77413327
PC206,0.0005281996,0.7746615
PC207,0.0005268046,0.77518827
PC208,0.00052609405,0.77571434
PC209,0.00052521745,0.7762396
PC210,0.0005234782,0.7767631
PC211,0.0005223773,0.77728546
PC212,0.0005206087,0.77780604
PC213,0.0005201446,0.7783262
PC214,0.00051769015,0.7788439
PC215,0.0005158923,0.77935976
PC216,0.000514579,0.7798743
PC217,0.00051263516,0.780387
PC218,0.00051167,0.78089863
PC219,0.00051009416,0.7814087
PC220,0.0005085737,0.7819173
PC221,0.0005079988,0.7824253
PC222,0.00050566165,0.78293097
PC223,0.00050396187,0.7834349
PC224,0.00050327624,0.7839382
PC225,0.00050219963,0.78444046
PC226,0.00049962185,0.78494006
PC227,0.00049887435,0.78543895
PC228,0.00049736234,0.7859363
PC229,0.00049633,0.7864326
PC230,0.00049604365,0.78692865
PC231,0.0004941141,0.7874228
PC232,0.0004932361,0.787916
PC233,0.0004914905,0.7884075
PC234,0.00049065996,0.78889817
PC235,0.00048885884,0.78938705
PC236,0.00048618397,0.78987324
PC237,0.00048579634,0.790359
PC238,0.0004846415,0.79084367
PC239,0.00048253767,0.7913262
PC240,0.00048205032,0.79180825
PC241,0.0004809661,0.7922892
PC242,0.00048022563,0.79276943
PC243,0.00047921468,0.79324865
PC244,0.00047746213,0.7937261
PC245,0.00047543368,0.7942015
PC246,0.00047342034,0.79467493
PC247,0.00047286972,0.7951478
PC248,0.0004725934,0.7956204
PC249,0.00047188773,0.7960923
PC250,0.00047023766,0.7965625
PC251,0.0004696348,0.7970321
PC252,0.00046780385,0.7974999
PC253,0.00046662483,0.79796654
PC254,0.00046594243,0.79843247
PC255,0.0004651023,0.79889756
PC256,0.0004637037,0.7993613
PC257,0.000463143,0.7998244
PC258,0.00046215978,0.8002866
